0,1,3982
0,2,7256
0,3,4135
0,4,1039
0,5,3117
0,6,8395
0,7,1078
0,8,9795
0,9,866
0,10,7915
0,11,469
0,12,3669
0,13,1545
0,14,3849
0,15,5423
0,16,3005
0,17,6984
0,18,2251
0,19,5043
0,20,2940
0,21,443
0,22,3649
0,23,7916
0,24,993
0,25,1132
0,26,6355
0,27,2483
0,28,4386
0,29,6362
0,30,7019
0,31,5268
0,32,3895
0,33,2991
0,34,6075
0,35,2140
0,36,8899
0,37,6704
0,38,4105
0,39,8697
0,40,2459
0,41,6710
0,42,7783
0,43,1543
0,44,9574
0,45,6756
0,46,2395
0,47,9323
0,48,6981
0,49,8789
0,50,3052
0,51,2073
0,52,9865
0,53,3556
0,54,2453
0,55,1772
0,56,8435
0,57,79
0,58,4028
0,59,4739
0,60,5880
0,61,6549
0,62,9872
0,63,4565
0,64,890
0,65,6263
0,66,6988
0,67,4950
0,68,9817
0,69,7175
1,2,760
1,3,3535
1,4,133
1,5,8117
1,6,1588
1,7,4117
1,8,704
1,9,2095
1,10,5594
1,11,134
1,12,2719
1,13,9482
1,14,1085
1,15,6560
1,16,2940
1,17,9525
1,18,9034
1,19,5600
1,20,9378
1,21,9682
1,22,9278
1,23,8435
1,24,3521
1,25,3262
1,26,3543
1,27,8303
1,28,6146
1,29,5970
1,30,2218
1,31,4486
1,32,8970
1,33,1563
1,34,9775
1,35,3525
1,36,3584
1,37,6472
1,38,6062
1,39,2844
1,40,8141
1,41,1402
1,42,5856
1,43,4300
1,44,3842
1,45,5586
1,46,1857
1,47,3923
1,48,6788
1,49,5185
1,50,9001
1,51,8421
1,52,973
1,53,1800
1,54,2504
1,55,9322
1,56,3456
1,57,8683
1,58,3133
1,59,7666
1,60,2309
1,61,5740
1,62,6030
1,63,1347
1,64,1502
1,65,8438
1,66,7946
1,67,5794
1,68,8105
1,69,2306
2,3,4943
2,4,7608
2,5,5056
2,6,4063
2,7,1978
2,8,7868
2,9,7687
2,10,4806
2,11,9625
2,12,9239
2,13,9037
2,14,4335
2,15,890
2,16,2254
2,17,428
2,18,2309
2,19,8892
2,20,123
